course_credit_hour,course_date_end,course_date_start,course_dept,course_description,course_explorer_link,course_gened,course_hour_end,course_hour_start,course_location,course_name,course_num,course_room_num,course_semester,course_term,course_year,crn,prof_fname,prof_lname,section_info,section_num
3,2019-08-01Z,2019-06-10Z,ANSC,"Lecture/discussion course that will provide students an overview of biotechnology and animals. Focuses on biotechnological achievements involving animals and how they influence the global development of agriculture, medicine, and industry. Topics will be covered from scientific, discovery, historical, social, and political perspectives. Credit is not given to Animal Science majors.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/ANSC/110/30180.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""NAT""><description>Natural Sciences &amp; Technology</description><ns2:genEdAttributes><genEdAttribute code=""1LS"">Nat Sci &amp; Tech - Life Sciences</genEdAttribute></ns2:genEdAttributes></category>",12:50 PM,11:00 AM,Animal Sciences Laboratory,Life With Animals and Biotech,110,131,summer,S2,2019,30180,C,Allen,Credit is not given to Animal Science majors.,1  
4,2019-08-01Z,2019-06-10Z,FR,Continuation of FR 101. Introduces cultural and supplementary enrichment materials; requires online laboratory sessions as in FR 101. Prerequisite: FR 101 or one year of high school French.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/FR/102/30715.xml,,11:50 AM,10:00 AM,Foreign Languages Building,Elementary French II,102,1136,summer,S2,2019,30715,A,Burkel,Prerequisite: FR 101 or one year of high school French.,B  
4,2019-08-01Z,2019-06-10Z,FR,Continuation of FR 101. Introduces cultural and supplementary enrichment materials; requires online laboratory sessions as in FR 101. Prerequisite: FR 101 or one year of high school French.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/FR/102/30715.xml,,11:50 AM,10:00 AM,Foreign Languages Building,Elementary French II,102,1136,summer,S2,2019,30715,A,Clay,Prerequisite: FR 101 or one year of high school French.,B  
0,2019-08-01Z,2019-07-08Z,BUS,"Upon prior written approval of the College of Business' Office of Undergraduate Affairs, a student may earn up to 18 credit hours per term undertaking a study and/or research project in international business at accredited foreign institutions or approved overseas programs. Final determination of appropriate credit will be made upon completion of the work done abroad. While absent from the Urbana-Champaign campus, the student must continue to pay all fees required by the University of Illinois to retain continuity of enrollment and to allow the time spent away from this campus to count toward residency. Approved for both letter and S/U grading. Maximum of 18 hours per term and 36 hours total. Prerequisite: One academic year (or one semester in the case of transfer students) in residence at UIUC, good academic standing, completion of at least thirty semester hours toward the bachelor's degree, and prior approval of course work by the College of Business' Office of Undergraduate Affairs. Some programs have additional requirements.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/BUS/399/29894.xml,,,ARRANGED,,Business Study Abroad,399,,summer,S2B,2019,29894,C,Gozdziak,"Approved for both letter and S/U grading. Maximum of 18 hours per term and 36 hours total. Prerequisite: One academic year (or one semester in the case of transfer students) in residence at UIUC, good academic standing, completion of at least thirty semester hours toward the bachelor's degree, and prior approval of course work by the College of Business' Office of Undergraduate Affairs. Some programs have additional requirements.",A4 
0,2019-08-01Z,2019-05-13Z,BUS,"Upon prior written approval of the College of Business' Office of Undergraduate Affairs, a student may earn up to 18 credit hours per term undertaking a study and/or research project in international business at accredited foreign institutions or approved overseas programs. Final determination of appropriate credit will be made upon completion of the work done abroad. While absent from the Urbana-Champaign campus, the student must continue to pay all fees required by the University of Illinois to retain continuity of enrollment and to allow the time spent away from this campus to count toward residency. Approved for both letter and S/U grading. Maximum of 18 hours per term and 36 hours total. Prerequisite: One academic year (or one semester in the case of transfer students) in residence at UIUC, good academic standing, completion of at least thirty semester hours toward the bachelor's degree, and prior approval of course work by the College of Business' Office of Undergraduate Affairs. Some programs have additional requirements.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/BUS/399/35840.xml,,,ARRANGED,,Business Study Abroad,399,,summer,SF,2019,35840,C,Gozdziak,"Approved for both letter and S/U grading. Maximum of 18 hours per term and 36 hours total. Prerequisite: One academic year (or one semester in the case of transfer students) in residence at UIUC, good academic standing, completion of at least thirty semester hours toward the bachelor's degree, and prior approval of course work by the College of Business' Office of Undergraduate Affairs. Some programs have additional requirements.",A3 
0,2019-08-01Z,2019-06-10Z,BUS,"Upon prior written approval of the College of Business' Office of Undergraduate Affairs, a student may earn up to 18 credit hours per term undertaking a study and/or research project in international business at accredited foreign institutions or approved overseas programs. Final determination of appropriate credit will be made upon completion of the work done abroad. While absent from the Urbana-Champaign campus, the student must continue to pay all fees required by the University of Illinois to retain continuity of enrollment and to allow the time spent away from this campus to count toward residency. Approved for both letter and S/U grading. Maximum of 18 hours per term and 36 hours total. Prerequisite: One academic year (or one semester in the case of transfer students) in residence at UIUC, good academic standing, completion of at least thirty semester hours toward the bachelor's degree, and prior approval of course work by the College of Business' Office of Undergraduate Affairs. Some programs have additional requirements.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/BUS/399/30745.xml,,,ARRANGED,,Business Study Abroad,399,,summer,S2,2019,30745,C,Gozdziak,"Approved for both letter and S/U grading. Maximum of 18 hours per term and 36 hours total. Prerequisite: One academic year (or one semester in the case of transfer students) in residence at UIUC, good academic standing, completion of at least thirty semester hours toward the bachelor's degree, and prior approval of course work by the College of Business' Office of Undergraduate Affairs. Some programs have additional requirements.",A2 
4,2019-06-07Z,2019-05-13Z,FR,"Four-skill course leading toward elementary proficiency in oral expression, listening comprehension, reading, writing, and cultural understanding. Online language laboratory and internet assignments required.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/FR/101/30713.xml,,11:50 AM,08:00 AM,Foreign Languages Building,Elementary French I,101,1136,summer,S1,2019,30713,A,Clay,,A  
4,2019-06-07Z,2019-05-13Z,FR,"Four-skill course leading toward elementary proficiency in oral expression, listening comprehension, reading, writing, and cultural understanding. Online language laboratory and internet assignments required.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/FR/101/30713.xml,,11:50 AM,08:00 AM,Foreign Languages Building,Elementary French I,101,1136,summer,S1,2019,30713,G,Zsombok,,A  
0,2019-08-01Z,2019-05-13Z,BUS,"Accommodates students who must be registered for a course at the University while completing an internship, either because the internship is unpaid and the company requires registration, or because of visa requirements. Only internships in the College of Business will be considered. Approved for S/U grading only.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/BUS/299/33699.xml,,,ARRANGED,,BUS Internship,299,,summer,SF,2019,33699,J,Headtke,Approved for S/U grading only.,INT
1,2019-08-01Z,2019-05-13Z,VCM,Individual customized clerkship in clinical medicine and surgery for VM-4 professional students. Approved for S/U grading only. May be repeated to a maximum of 9 hours. Prerequisite: Fourth-year standing in the veterinary medicine professional curriculum.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/VCM/601/31821.xml,,,ARRANGED,,Clinical/Laboratory Practice,601,,summer,SF,2019,31821,K,Campbell,Approved for S/U grading only. May be repeated to a maximum of 9 hours. Prerequisite: Fourth-year standing in the veterinary medicine professional curriculum.,8  
