course_credit_hour,course_date_end,course_date_start,course_dept,course_description,course_explorer_link,course_gened,course_hour_end,course_hour_start,course_location,course_name,course_num,course_room_num,course_semester,course_term,course_year,crn,prof_fname,prof_lname,section_info,section_num
3,2020-08-06Z,2020-06-15Z,PSYC,Study of the psychological development of the child. Credit is not given for both PSYC 216 and EPSY 236. Prerequisite: PSYC 100 or PSYC 103.,https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PSYC/216/30331.xml,,,ARRANGED,,Child Psych,216,,summer,S2,2020,30331,C,Shenouda,Credit is not given for both PSYC 216 and EPSY 236. Prerequisite: PSYC 100 or PSYC 103.,2ON
4,2020-08-06Z,2020-06-15Z,PSYC,"Provides students with a background in developmental research methodology, such as observational techniques used with children. Students will gain experience collecting data and learn how to write research papers. Prerequisite: PSYC 216 and PSYC 235, or equivalent.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PSYC/363/33558.xml,,11:20 AM,10:00 AM,,Developmental Child Psych Lab,363,,summer,S2,2020,33558,Y,Lin,"Prerequisite: PSYC 216 and PSYC 235, or equivalent.",AL1
1,2020-08-06Z,2020-05-18Z,RST,"The internship course requires you to complete a minimum of 400 hours over 10 weeks with an agency that relates to your major. The course is designed to enhance the internship experience by leading you through practical steps that empower you in the learning/working experience, practice skills and concepts presented in academic classes, explore areas of personal and professional interest, and by introducing problem and conflict solving techniques. 12 undergraduate hours. No graduate credit. Approved for S/U grading only. Prerequisite: RST 100, RST 101, RST 200, RST 255, RST 210, RST 240, RST 325, RST 480, and one of the following - RST 120, RST 130, or RST 150. Restricted to students with Junior or Senior standing.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/RST/485/39689.xml,,,ARRANGED,,Internship,485,,summer,SF,2020,39689,T,Daniels,"12 undergraduate hours. No graduate credit. Approved for S/U grading only. Prerequisite: RST 100, RST 101, RST 200, RST 255, RST 210, RST 240, RST 325, RST 480, and one of the following - RST 120, RST 130, or RST 150. Restricted to students with Junior or Senior standing.",A  
0,2020-08-06Z,2020-05-18Z,PSYC,"Weekly presentation and discussions of current research by faculty, graduate students and visiting scholars. Sections of these proseminars are offered by each division in the Psychology Department. Requirements include attendance and participation in discussion. Same as NEUR 598. 0 to 4 graduate hours. Approved for S/U grading only. May be repeated.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PSYC/598/38829.xml,,,ARRANGED,,Proseminar in Psychology,598,,summer,SF,2020,38829,N,Allen,Same as NEUR 598. 0 to 4 graduate hours. Approved for S/U grading only. May be repeated.,IN2
3,2020-08-06Z,2020-06-15Z,PSYC,"Introduction to the psychological study of human information processing and memory; acquisition, retrieval, and forgetting; and general knowledge, concepts, reasoning, and related issues in cognition. Prerequisite: PSYC 100 or PSYC 103.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PSYC/224/30332.xml,,12:20 PM,10:00 AM,,Cognitive Psych,224,,summer,S2,2020,30332,S,Hwang,Prerequisite: PSYC 100 or PSYC 103.,S2 
4,2020-07-10Z,2020-06-15Z,PERS,"General review of the essentials of grammar, selected reading of materials emphasizing Iranian life and culture, compositions, and practice in speech. 4 undergraduate hours. 4 graduate hours. Prerequisite: PERS 202.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PERS/403/34837.xml,,10:50 AM,09:00 AM,,Intermediate Persian I,403,,summer,S2A,2020,34837,G,Le,4 undergraduate hours. 4 graduate hours. Prerequisite: PERS 202.,A1 
4,2020-07-10Z,2020-06-15Z,PERS,"General review of the essentials of grammar, selected reading of materials emphasizing Iranian life and culture, compositions, and practice in speech. 4 undergraduate hours. 4 graduate hours. Prerequisite: PERS 202.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PERS/403/34837.xml,,10:50 AM,09:00 AM,,Intermediate Persian I,403,,summer,S2A,2020,34837,E,Saadah,4 undergraduate hours. 4 graduate hours. Prerequisite: PERS 202.,A1 
4,2020-07-10Z,2020-06-15Z,PERS,"General review of the essentials of grammar, selected reading of materials emphasizing Iranian life and culture, compositions, and practice in speech. 4 undergraduate hours. 4 graduate hours. Prerequisite: PERS 202.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PERS/403/34837.xml,,10:50 AM,09:00 AM,,Intermediate Persian I,403,,summer,S2A,2020,34837,T,Sanei,4 undergraduate hours. 4 graduate hours. Prerequisite: PERS 202.,A1 
4,2020-07-10Z,2020-06-15Z,PERS,"General review of the essentials of grammar, selected reading of materials emphasizing Iranian life and culture, compositions, and practice in speech. 4 undergraduate hours. 4 graduate hours. Prerequisite: PERS 202.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PERS/403/34837.xml,,10:50 AM,09:00 AM,,Intermediate Persian I,403,,summer,S2A,2020,34837,G,Le,4 undergraduate hours. 4 graduate hours. Prerequisite: PERS 202.,A1 
4,2020-07-10Z,2020-06-15Z,PERS,"General review of the essentials of grammar, selected reading of materials emphasizing Iranian life and culture, compositions, and practice in speech. 4 undergraduate hours. 4 graduate hours. Prerequisite: PERS 202.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PERS/403/34837.xml,,10:50 AM,09:00 AM,,Intermediate Persian I,403,,summer,S2A,2020,34837,E,Saadah,4 undergraduate hours. 4 graduate hours. Prerequisite: PERS 202.,A1 
