course_credit_hour,course_date_end,course_date_start,course_dept,course_description,course_explorer_link,course_gened,course_hour_end,course_hour_start,course_location,course_name,course_num,course_room_num,course_semester,course_term,course_year,crn,prof_fname,prof_lname,section_info,section_num
1,2020-08-06Z,2020-05-18Z,SHS,"Supervised assessment and management of patients. Includes audiological evaluation techniques; treatment counseling; hearing aid selection, evaluation, and dispensing; and aural rehabilitation therapy. External placement in a variety of sites is available as well as in the departmental Audiology Clinic. May be repeated with approval. Prerequisite: Graduate standing, plus SHS 240, SHS 450, SHS 451, or equivalent coursework and consent of instructor.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/SHS/557/35669.xml,,,ARRANGED,,Adv Clin Prac Aud Assess Rehab,557,,summer,SF,2020,35669,A,Lawrence,"May be repeated with approval. Prerequisite: Graduate standing, plus SHS 240, SHS 450, SHS 451, or equivalent coursework and consent of instructor.",R  
1,2020-08-06Z,2020-05-18Z,SHS,"Supervised assessment and management of patients. Includes audiological evaluation techniques; treatment counseling; hearing aid selection, evaluation, and dispensing; and aural rehabilitation therapy. External placement in a variety of sites is available as well as in the departmental Audiology Clinic. May be repeated with approval. Prerequisite: Graduate standing, plus SHS 240, SHS 450, SHS 451, or equivalent coursework and consent of instructor.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/SHS/557/35669.xml,,,ARRANGED,,Adv Clin Prac Aud Assess Rehab,557,,summer,SF,2020,35669,B,Reidy,"May be repeated with approval. Prerequisite: Graduate standing, plus SHS 240, SHS 450, SHS 451, or equivalent coursework and consent of instructor.",R  
1,2020-08-06Z,2020-05-18Z,SHS,"Supervised assessment and management of patients. Includes audiological evaluation techniques; treatment counseling; hearing aid selection, evaluation, and dispensing; and aural rehabilitation therapy. External placement in a variety of sites is available as well as in the departmental Audiology Clinic. May be repeated with approval. Prerequisite: Graduate standing, plus SHS 240, SHS 450, SHS 451, or equivalent coursework and consent of instructor.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/SHS/557/30444.xml,,,ARRANGED,,Adv Clin Prac Aud Assess Rehab,557,,summer,SF,2020,30444,A,Lawrence,"May be repeated with approval. Prerequisite: Graduate standing, plus SHS 240, SHS 450, SHS 451, or equivalent coursework and consent of instructor.",L  
0,2020-08-06Z,2020-05-18Z,PSM,"Special, emerging, or advanced topics in science and business. Topics will vary by offering. May be used to pilot course offerings before adding them to the PSM curriculum. Open to Illinois Professional Science Master's (PSM) students only. Approved for letter and S/U grading. May be repeated in the same term up to 6 hours or separate terms up to 9 hours; this is contingent on program approval and other requirements.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PSM/520/35844.xml,,,ARRANGED,,Special Topics-Sci & Business,520,,summer,SF,2020,35844,N,Bosecker,Approved for letter and S/U grading. May be repeated in the same term up to 6 hours or separate terms up to 9 hours; this is contingent on program approval and other requirements.,A  
0,2020-08-06Z,2020-05-18Z,PSM,"Practical learning experience in which business knowledge and skills are applied to science problems and opportunities. In consultation with program coordinators, students find internship companies and positions that match their individual career objectives and meet the learning goals of the program. Learning objectives, deliverables, and performance evaluation are determined for each student by the program coordinator. Completed in the summer after the first year of study. Open to Illinois Professional Sciences Master's (PSM) students only. Internationals holding student visas must have prior authorization from International Student and Scholar Services. Approved for letter and S/U grading. May be repeated in separate terms.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PSM/555/37063.xml,,,ARRANGED,,PSM Internship,555,,summer,SF,2020,37063,N,Bosecker,Approved for letter and S/U grading. May be repeated in separate terms.,TNC
0,2020-08-06Z,2020-05-18Z,PSM,"Practical learning experience in which business knowledge and skills are applied to science problems and opportunities. In consultation with program coordinators, students find internship companies and positions that match their individual career objectives and meet the learning goals of the program. Learning objectives, deliverables, and performance evaluation are determined for each student by the program coordinator. Completed in the summer after the first year of study. Open to Illinois Professional Sciences Master's (PSM) students only. Internationals holding student visas must have prior authorization from International Student and Scholar Services. Approved for letter and S/U grading. May be repeated in separate terms.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PSM/555/37063.xml,,,ARRANGED,,PSM Internship,555,,summer,SF,2020,37063,P,Davidson,Approved for letter and S/U grading. May be repeated in separate terms.,TNC
0,2020-08-06Z,2020-05-18Z,PSM,"Practical learning experience in which business knowledge and skills are applied to science problems and opportunities. In consultation with program coordinators, students find internship companies and positions that match their individual career objectives and meet the learning goals of the program. Learning objectives, deliverables, and performance evaluation are determined for each student by the program coordinator. Completed in the summer after the first year of study. Open to Illinois Professional Sciences Master's (PSM) students only. Internationals holding student visas must have prior authorization from International Student and Scholar Services. Approved for letter and S/U grading. May be repeated in separate terms.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PSM/555/37062.xml,,,ARRANGED,,PSM Internship,555,,summer,SF,2020,37062,N,Bosecker,Approved for letter and S/U grading. May be repeated in separate terms.,TCR
0,2020-08-06Z,2020-05-18Z,PSM,"Practical learning experience in which business knowledge and skills are applied to science problems and opportunities. In consultation with program coordinators, students find internship companies and positions that match their individual career objectives and meet the learning goals of the program. Learning objectives, deliverables, and performance evaluation are determined for each student by the program coordinator. Completed in the summer after the first year of study. Open to Illinois Professional Sciences Master's (PSM) students only. Internationals holding student visas must have prior authorization from International Student and Scholar Services. Approved for letter and S/U grading. May be repeated in separate terms.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PSM/555/37062.xml,,,ARRANGED,,PSM Internship,555,,summer,SF,2020,37062,P,Davidson,Approved for letter and S/U grading. May be repeated in separate terms.,TCR
0,2020-08-06Z,2020-05-18Z,PSM,"Practical learning experience in which business knowledge and skills are applied to science problems and opportunities. In consultation with program coordinators, students find internship companies and positions that match their individual career objectives and meet the learning goals of the program. Learning objectives, deliverables, and performance evaluation are determined for each student by the program coordinator. Completed in the summer after the first year of study. Open to Illinois Professional Sciences Master's (PSM) students only. Internationals holding student visas must have prior authorization from International Student and Scholar Services. Approved for letter and S/U grading. May be repeated in separate terms.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PSM/555/37061.xml,,,ARRANGED,,PSM Internship,555,,summer,SF,2020,37061,N,Bosecker,Approved for letter and S/U grading. May be repeated in separate terms.,PNC
0,2020-08-06Z,2020-05-18Z,PSM,"Practical learning experience in which business knowledge and skills are applied to science problems and opportunities. In consultation with program coordinators, students find internship companies and positions that match their individual career objectives and meet the learning goals of the program. Learning objectives, deliverables, and performance evaluation are determined for each student by the program coordinator. Completed in the summer after the first year of study. Open to Illinois Professional Sciences Master's (PSM) students only. Internationals holding student visas must have prior authorization from International Student and Scholar Services. Approved for letter and S/U grading. May be repeated in separate terms.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/summer/PSM/555/37061.xml,,,ARRANGED,,PSM Internship,555,,summer,SF,2020,37061,J,Juvik,Approved for letter and S/U grading. May be repeated in separate terms.,PNC
