course_credit_hour,course_date_end,course_date_start,course_dept,course_description,course_explorer_link,course_gened,course_hour_end,course_hour_start,course_location,course_name,course_num,course_room_num,course_semester,course_term,course_year,crn,prof_fname,prof_lname,section_info,section_num,section_type
3,2018-01-13Z,2017-12-22Z,BADM,"Introduction to law and the legal system, tort law, products liability, agency law, introduction to business organizations, introduction to government regulation, securities regulation, antitrust law.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/BADM/300/10013.xml,,,ARRANGED,,The Legal Environment of Bus,300,,winter,1,2018,10013,M,Fricke,,A  ,Online
3,2018-01-13Z,2017-12-22Z,BADM,"General analysis of management and organizational behavior from a systems point of view, including classical organizational theory and management, organizational behavior, and management science; environmental forces; planning, organizing, and control processes; motivation, incentives, leadership, communication, and interpersonal relations; and discussion of production and decision-making and mathematical models.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/BADM/310/10014.xml,,,ARRANGED,,Mgmt and Organizational Beh,310,,winter,1,2018,10014,S,Gill,,A  ,Online
0,2018-01-13Z,2017-12-22Z,CS,Topics vary. Approved for Letter and S/U grading. May be repeated.,https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/CS/199/10030.xml,,,ARRANGED,,Undergraduate Open Seminar in Computer Science,199,,winter,1,2018,10030,E,Shaffer,Approved for Letter and S/U grading. May be repeated.,GAM,Online
3,2018-01-13Z,2017-12-22Z,ART,"Interdisciplinary methods in recognizing and understanding meaning of a wide range of visual messages in the arts, design, and culture, with emphasis on critical thinking and analysis. Topics include: visual perception, visual persuasion, the visual interpretation of time and space, humor. Contemporary art and design are explored through the use of semiotics and historical, cultural and ethical aesthetic and technical perspectives.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/ART/100/10045.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""HUM""><description>Humanities &amp; the Arts</description><ns2:genEdAttributes><genEdAttribute code=""1LA"">Humanities – Lit &amp; Arts</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,Understanding Visual Culture,100,,winter,1,2018,10045,J,Burns,,JB ,Online
4,2018-01-13Z,2017-12-22Z,SPAN,"Introduction to Spanish in business, law, medical, education & social service fields, with a focus on the importance of bilingualism in the U.S., strategies for lifelong learning, and culture considerations. The development of functional use of Spanish within the professional context is the major focus of the course. This is considered a fourth level course for purposes of fulfilling the University General Education Language requirement. Credit is not given for both SPAN 141 and SPAN 142. Prerequisite: SPAN 130 (formerly numbered 103), equivalent course, or placement score.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/SPAN/142/10040.xml,,,ARRANGED,,Spanish in the Professions,142,,winter,1,2018,10040,F,Henshaw,"Credit is not given for both SPAN 141 and SPAN 142. Prerequisite: SPAN 130 (formerly numbered 103), equivalent course, or placement score.",A  ,Online
3,2018-01-13Z,2017-12-22Z,BADM,"Examines the information technology and its impact on modern organizations. Topics include: (1) IT, Internet Technologies, E-Commerce and business models, (2) organizing and modeling enterprise data, (3) Network protocol and architecture, (4) development of IT systems, and (5) IT management and organization design.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/BADM/350/10015.xml,,,ARRANGED,,IT for Networked Organizations,350,,winter,1,2018,10015,V,Sachdev,,A  ,Online
4,2018-01-13Z,2017-12-22Z,SPAN,"Continued development of reading, writing and conversational skills. This is considered a third level course for purposes of fulfilling the University General Education Language requirement. Credit is not given for both SPAN 130 and SPAN 103. Prerequisite: SPAN 122 or equivalent placement score.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/SPAN/130/10039.xml,,,ARRANGED,,Intermediate Spanish,130,,winter,1,2018,10039,M,Gonzalez Boluda,Credit is not given for both SPAN 130 and SPAN 103. Prerequisite: SPAN 122 or equivalent placement score.,A  ,Online
3,2018-01-13Z,2017-12-22Z,ACE,"Examines principles of financial planning applied to individuals and households, with attention to organizing and analyzing financial information, budgeting, acquiring financial assets, managing credit, planning for taxes, investments, risk management, retirement, and estate planning. Prerequisite: Sophomore standing or consent of instructor.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/ACE/240/10035.xml,,,ARRANGED,,Personal Financial Planning,240,,winter,1,2018,10035,P,Stoddard,Prerequisite: Sophomore standing or consent of instructor.,ONL,Online
3,2018-01-13Z,2017-12-22Z,PHIL,"Practical study of logical reasoning; techniques for analyzing and criticizing arguments, with emphasis on assessing the logical coherence of what we read and write.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/PHIL/102/10046.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""HUM""><description>Humanities &amp; the Arts</description><ns2:genEdAttributes><genEdAttribute code=""1HP"">Humanities – Hist &amp; Phil</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,Logic and Reasoning,102,,winter,1,2018,10046,D,Gilbert,,DG ,Online
3,2018-01-13Z,2017-12-22Z,BADM,"Introduces the field of international business and management. Examines the economic, political, and legal environments of international business. Analyzes differences in financial management, marketing, and management practices for firms doing business abroad.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/BADM/380/10017.xml,,,ARRANGED,,International Business,380,,winter,1,2018,10017,M,Bucheli,,A  ,Online
