course_credit_hour,course_date_end,course_date_start,course_dept,course_description,course_explorer_link,course_gened,course_hour_end,course_hour_start,course_location,course_name,course_num,course_room_num,course_semester,course_term,course_year,crn,prof_fname,prof_lname,section_info,section_num,section_type
4,2017-06-09Z,2017-05-15Z,ANSC,"Introduction to theoretical and applied aspects of bioinformatics. Topics include genomic and proteomic databases, sequence alignment and search algorithms (e.g., BLAST, FASTA, CLUSTAL W), predictive methods in DNA sequence, machine-learning techniques (e.g., Hidden Markov Models) and data mining, biomolecular structure and its prediction, molecular evolution and phylogenetic reconstruction, structural genomics and phylogenomics. Concepts are complemented with hands-on experience with computational biology databases and bioinformatic tools. Same as CPSC 569 and IB 506. Prerequisite: Graduate level status or consent of instructor.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/summer/ANSC/542/36011.xml,,11:50 AM,10:00 AM,Institute for Genomic Biology,Applied Bioinformatics,542,ARR,summer,S1,2017,36011,G,Caetano-Anolles,Same as CPSC 569 and IB 506. Prerequisite: Graduate level status or consent of instructor.,A  ,Lecture-Discussion
4,2017-06-09Z,2017-05-15Z,ANSC,"Introduction to theoretical and applied aspects of bioinformatics. Topics include genomic and proteomic databases, sequence alignment and search algorithms (e.g., BLAST, FASTA, CLUSTAL W), predictive methods in DNA sequence, machine-learning techniques (e.g., Hidden Markov Models) and data mining, biomolecular structure and its prediction, molecular evolution and phylogenetic reconstruction, structural genomics and phylogenomics. Concepts are complemented with hands-on experience with computational biology databases and bioinformatic tools. Same as CPSC 569 and IB 506. Prerequisite: Graduate level status or consent of instructor.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/summer/ANSC/542/36011.xml,,11:50 AM,10:00 AM,Institute for Genomic Biology,Applied Bioinformatics,542,ARR,summer,S1,2017,36011,S,Rodriguez-Zas,Same as CPSC 569 and IB 506. Prerequisite: Graduate level status or consent of instructor.,A  ,Lecture-Discussion
4,2017-06-09Z,2017-05-15Z,ANSC,"Introduction to theoretical and applied aspects of bioinformatics. Topics include genomic and proteomic databases, sequence alignment and search algorithms (e.g., BLAST, FASTA, CLUSTAL W), predictive methods in DNA sequence, machine-learning techniques (e.g., Hidden Markov Models) and data mining, biomolecular structure and its prediction, molecular evolution and phylogenetic reconstruction, structural genomics and phylogenomics. Concepts are complemented with hands-on experience with computational biology databases and bioinformatic tools. Same as CPSC 569 and IB 506. Prerequisite: Graduate level status or consent of instructor.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/summer/ANSC/542/36011.xml,,11:50 AM,10:00 AM,Institute for Genomic Biology,Applied Bioinformatics,542,ARR,summer,S1,2017,36011,M,Villamil,Same as CPSC 569 and IB 506. Prerequisite: Graduate level status or consent of instructor.,A  ,Lecture-Discussion
3,2017-06-09Z,2017-05-15Z,ART,"Interdisciplinary methods in recognizing and understanding meaning of a wide range of visual messages in the arts, design, and culture, with emphasis on critical thinking and analysis. Topics include: visual perception, visual persuasion, the visual interpretation of time and space, humor. Contemporary art and design are explored through the use of semiotics and historical, cultural and ethical aesthetic and technical perspectives.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/summer/ART/100/35192.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""HUM""><description>Humanities &amp; the Arts</description><ns2:genEdAttributes><genEdAttribute code=""1LA"">Humanities – Lit &amp; Arts</genEdAttribute></ns2:genEdAttributes></category>",06:20 PM,05:00 PM,,Understanding Visual Culture,100,,summer,S1,2017,35192,J,Burns,,JB ,Online
0,2017-08-03Z,2017-05-15Z,VCM,"Independent research to fulfill requirement for non-thesis alternative in Master of Science Program. Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/summer/VCM/598/38537.xml,,,ARRANGED,,Manuscript Research,598,,summer,SF,2017,38537,R,Hamor,"Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",REH,Laboratory
0,2017-08-03Z,2017-05-15Z,VCM,"Independent research to fulfill requirement for non-thesis alternative in Master of Science Program. Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/summer/VCM/598/38531.xml,,,ARRANGED,,Manuscript Research,598,,summer,SF,2017,38531,M,Stewart,"Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",MCS,Laboratory
0,2017-08-03Z,2017-05-15Z,VCM,"Independent research to fulfill requirement for non-thesis alternative in Master of Science Program. Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/summer/VCM/598/38717.xml,,,ARRANGED,,Manuscript Research,598,,summer,SF,2017,38717,M,Allender,"Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",MCA,Laboratory
0,2017-08-03Z,2017-05-15Z,VCM,"Independent research to fulfill requirement for non-thesis alternative in Master of Science Program. Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/summer/VCM/598/38061.xml,,,ARRANGED,,Manuscript Research,598,,summer,SF,2017,38061,M,O'Brien,"Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",MAO,Laboratory
0,2017-08-03Z,2017-05-15Z,VCM,"Independent research to fulfill requirement for non-thesis alternative in Master of Science Program. Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/summer/VCM/598/38068.xml,,,ARRANGED,,Manuscript Research,598,,summer,SF,2017,38068,L,Selmic,"Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",LS ,Laboratory
2,2017-08-03Z,2017-05-15Z,ANTH,Analysis of selected topics of special interest in anthropology. May be repeated to a maximum of 8 hours in the same or subsequent semesters.,https://courses.illinois.edu/cisapp/explorer/schedule/2017/summer/ANTH/515/39037.xml,,,ARRANGED,,Seminar in Anthropology,515,,summer,SF,2017,39037,L,Konigsberg,May be repeated to a maximum of 8 hours in the same or subsequent semesters.,LK ,Conference
