course_credit_hour,course_date_end,course_date_start,course_dept,course_description,course_explorer_link,course_gened,course_hour_end,course_hour_start,course_location,course_name,course_num,course_room_num,course_semester,course_term,course_year,crn,prof_fname,prof_lname,section_info,section_num,section_type
3,2017-01-13Z,2016-12-19Z,ACE,"Examines principles of financial planning applied to individuals and households, with attention to organizing and analyzing financial information, budgeting, acquiring financial assets, managing credit, planning for taxes, investments, risk management, retirement, and estate planning. Prerequisite: Sophomore standing or consent of instructor.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ACE/240/10035.xml,,,ARRANGED,,Personal Financial Planning,240,,winter,1,2017,10035,P,Stoddard,Prerequisite: Sophomore standing or consent of instructor.,ONL,Online
3,2017-01-13Z,2016-12-19Z,ASTR,"One term introduction to astronomy. The nature of science; sun, planets, and moons; origin of the solar system; nature and evolution of stars; exploding stars; stellar remnants, including white dwarfs, neutron stars, and black holes; extrasolar planetary systems; galaxies and quasars; dark matter and dark energy; the Big Bang and the fate of the universe; and life in the universe. Lectures and observation; a field trip to Parkland Staerkel Planetarium may be required, nominal charge. Credit is not given for ASTR 100 if credit in any of ASTR 121, ASTR 122, ASTR 210, or equivalent has been earned. Students with credit in PHYS 211 are encouraged to take ASTR 210.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ASTR/100/10005.xml,NAT,,ARRANGED,,Introduction to Astronomy,100,,winter,1,2017,10005,B,Dunne,"Credit is not given for ASTR 100 if credit in any of ASTR 121, ASTR 122, ASTR 210, or equivalent has been earned. Students with credit in PHYS 211 are encouraged to take ASTR 210.",ONL,Online
3,2017-01-13Z,2016-12-19Z,ASTR,"One term introduction to astronomy. The nature of science; sun, planets, and moons; origin of the solar system; nature and evolution of stars; exploding stars; stellar remnants, including white dwarfs, neutron stars, and black holes; extrasolar planetary systems; galaxies and quasars; dark matter and dark energy; the Big Bang and the fate of the universe; and life in the universe. Lectures and observation; a field trip to Parkland Staerkel Planetarium may be required, nominal charge. Credit is not given for ASTR 100 if credit in any of ASTR 121, ASTR 122, ASTR 210, or equivalent has been earned. Students with credit in PHYS 211 are encouraged to take ASTR 210.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ASTR/100/10005.xml,NAT,,ARRANGED,,Introduction to Astronomy,100,,winter,1,2017,10005,L,Looney,"Credit is not given for ASTR 100 if credit in any of ASTR 121, ASTR 122, ASTR 210, or equivalent has been earned. Students with credit in PHYS 211 are encouraged to take ASTR 210.",ONL,Online
3,2017-01-13Z,2016-12-19Z,ADV,"In this course, you will develop a rich knowledge base of advertising and the advertising industry as it has evolved in the United States over the last two centuries. Included will be an analysis of the key events, forces, people and technology. Credit is not given for ADV 312 if credit for ADV 412 has been earned.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ADV/312/10003.xml,,,ARRANGED,,Advertising History,312,,winter,1,2017,10003,J,Chambers,Credit is not given for ADV 312 if credit for ADV 412 has been earned.,A  ,Online
3,2017-01-13Z,2016-12-19Z,BADM,"Introduces the field of international business and management. Examines the economic, political, and legal environments of international business. Analyzes differences in financial management, marketing, and management practices for firms doing business abroad.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/BADM/380/10017.xml,,,ARRANGED,,International Business,380,,winter,1,2017,10017,M,Bucheli,,A  ,Online
3,2017-01-13Z,2016-12-19Z,ATMS,"Most extreme manifestations of weather and climate are analyzed in terms of their physical basis and their historical, economic and human consequences. Emphasis is placed on the interplay between technological advances, the evolution of meteorology as a science, and the impacts of extreme weather (winter storms, floods, severe thunderstorms, hurricanes, El Nino). Technological advances include satellites, weather radars and profilers, and computer models used for weather prediction. Same as ESE 120.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ATMS/120/10002.xml,"NAT, QR",,ARRANGED,,Severe and Hazardous Weather,120,,winter,1,2017,10002,E,Snodgrass,Same as ESE 120.,ONL,Online
1,2017-01-13Z,2016-12-19Z,CS,May be repeated.,https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/CS/199/10030.xml,,,ARRANGED,,Undergraduate Open Seminar,199,,winter,1,2017,10030,L,Angrave,May be repeated.,GAM,Online
1,2017-01-13Z,2016-12-19Z,CS,May be repeated.,https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/CS/199/10030.xml,,,ARRANGED,,Undergraduate Open Seminar,199,,winter,1,2017,10030,E,Shaffer,May be repeated.,GAM,Online
3,2017-01-13Z,2016-12-19Z,CHLH,"Examines concepts of health and health promotion in contemporary society with emphasis on a healthy lifestyle for individuals and groups. Topics include self care, health insurance, exercise, nutrition and weight control, sexuality, contraception, tobacco, alcohol, cardiovascular health, infectious diseases, and cancer.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/CHLH/100/10028.xml,SBS,,ARRANGED,,Contemporary Health,100,,winter,1,2017,10028,J,Trask,,ON ,Online
3,2017-01-13Z,2016-12-19Z,ECON,"Microeconomic analysis including value and distribution theory; analysis of the pricing of the factors of production integrated in a micro-general equilibrium context which builds towards explaining the resource allocation process. Prerequisite: ECON 102 or equivalent. MATH 220, MATH 221, MATH 234 or equivalent.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ECON/302/10026.xml,,,ARRANGED,,Inter Microeconomic Theory,302,,winter,1,2017,10026,B,Buckley,"Prerequisite: ECON 102 or equivalent. MATH 220, MATH 221, MATH 234 or equivalent.",ONL,Online
3,2017-01-13Z,2016-12-19Z,DANC,"Overview of major works, figures, and trends responsible for shaping dance as an evolving contemporary art form. The course will have lecture, viewing, discussion and experiential (studio participation) components. For non-dance majors.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/DANC/100/10027.xml,"CS, HUM",,ARRANGED,,Intro to Contemporary Dance,100,,winter,1,2017,10027,R,Ferrell,For non-dance majors.,OL1,Online
3,2017-01-13Z,2016-12-19Z,DANC,"Overview of major works, figures, and trends responsible for shaping dance as an evolving contemporary art form. The course will have lecture, viewing, discussion and experiential (studio participation) components. For non-dance majors.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/DANC/100/10027.xml,"CS, HUM",,ARRANGED,,Intro to Contemporary Dance,100,,winter,1,2017,10027,C,Maybee,For non-dance majors.,OL1,Online
3,2017-01-13Z,2016-12-19Z,GLBL,Same as ESE 118 and GEOL 118. See GEOL 118.,https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/GLBL/118/10009.xml,NAT,,ARRANGED,,Natural Disasters,118,,winter,1,2017,10009,S,Altaner,Same as ESE 118 and GEOL 118. See GEOL 118.,A  ,Online
3,2017-01-13Z,2016-12-19Z,GEOL,"Introduces the nature, causes, risks, effects, and prediction of natural disasters including earthquakes, volcanoes, landslides, subsidence, global climate change, severe weather, coastal erosion, floods, mass extinctions, and meteorite  impacts; covers scientific principles and case histories of natural disasters as well as human responses (societal impact, mitigation strategies, and public policy). Same as ESE 118 and GLBL 118.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/GEOL/118/10007.xml,NAT,,ARRANGED,,Natural Disasters,118,,winter,1,2017,10007,S,Altaner,Same as ESE 118 and GLBL 118.,A  ,Online
3,2017-01-13Z,2016-12-19Z,GEOG,"Introduction to the complex relationship between people and the natural environment from a social science perspective. Explores different approaches to environmental issues, and examines the role of population change, political economy, technologies, environmental policymaking, and social institutions in causing and resolving contemporary social and environmental global issues. Same as ESE 210.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/GEOG/210/10004.xml,SBS,,ARRANGED,,Social & Environmental Issues,210,,winter,1,2017,10004,R,Stock,Same as ESE 210.,ONL,Online
3,2017-01-13Z,2016-12-19Z,ESE,Same as GEOG 210. See GEOG 210.,https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ESE/210/10010.xml,SBS,,ARRANGED,,Social & Environmental Issues,210,,winter,1,2017,10010,R,Stock,Same as GEOG 210. See GEOG 210.,ONL,Online
2,2017-01-13Z,2016-12-19Z,PS,"Examines the politics of national parks in the United States, including creation of parks, local support or opposition to parks, and park policy as well as policy questions such as the value of wilderness ecosystem management, endangered species protection, and role of parks in national identity and remembrance of events such as the Civil War, the Indian wars, or the civil rights movement. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 10 hours.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/PS/224/10029.xml,SBS,,ARRANGED,,Politics of the National Parks,224,,winter,1,2017,10029,K,Britzman,Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 10 hours.,A  ,Online
3,2017-01-13Z,2016-12-19Z,MUS,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. Prerequisite: For non-music majors only.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/MUS/130/10036.xml,"CS, HUM",,ARRANGED,,Introd to the Art of Music,130,,winter,1,2017,10036,G,Magee,Prerequisite: For non-music majors only.,D  ,Online
3,2017-01-13Z,2016-12-19Z,MACS,"Examines the notion that the mass media influence our development as gendered individuals, looking at those who argue for and against this notion. Considers different forms of feminist theory applied to the study of mass media, the history and scholarly criticisms of the media and their portrayal of women, and feminist attempts to create alternatives to mainstream media images. Throughout, the course considers representation of minorities in the dominant media and examines newly created alternative representations. Same as GWS 356.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/MACS/356/10024.xml,CS,,ARRANGED,,Sex & Gender in Popular Media,356,,winter,1,2017,10024,C,Cole,Same as GWS 356.,B  ,Online
4,2017-01-13Z,2016-12-19Z,SOC,"Examination of how societies grow and change; reciprocal effects of economic, political, community, familial, and scientific institutions on each other and on individual life changes; and social conflict, problems of bureaucratic growth and planned and unplanned social change.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/SOC/100/10018.xml,SBS,,ARRANGED,,Introduction to Sociology,100,,winter,1,2017,10018,D,Steward,,ONL,Online
3,2017-01-13Z,2016-12-19Z,MACS,"Examines the notion that the mass media influence our development as gendered individuals, looking at those who argue for and against this notion. Considers different forms of feminist theory applied to the study of mass media, the history and scholarly criticisms of the media and their portrayal of women, and feminist attempts to create alternatives to mainstream media images. Throughout, the course considers representation of minorities in the dominant media and examines newly created alternative representations. Same as GWS 356.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/MACS/356/10011.xml,CS,,ARRANGED,,Sex & Gender in Popular Media,356,,winter,1,2017,10011,A,Valdivia,Same as GWS 356.,A  ,Online
