course_credit_hour,course_date_end,course_date_start,course_dept,course_description,course_explorer_link,course_gened,course_hour_end,course_hour_start,course_location,course_name,course_num,course_room_num,course_semester,course_term,course_year,crn,prof_fname,prof_lname,section_info,section_num,section_type
3,2020-01-17Z,2019-12-23Z,ASTR,"Scientific discussion of the search for extraterrestrial life. Topics include: cosmic evolution (protons to heavy elements to molecules); terrestrial evolution (chemical, biological, and cultural); high technology searches for extraterrestrial life in the solar system (Mars, Venus, outer planets); and beyond the solar system (Drake equation and current SETI projects).",https://courses.illinois.edu/cisapp/explorer/schedule/2020/winter/ASTR/330/10064.xml,,,ARRANGED,,Extraterrestrial Life,330,,winter,1,2020,10064,L,Looney,,ONL,Online
3,2020-01-17Z,2019-12-23Z,ANSC,"An introduction to companion animal biology through consideration of the physical structure, nutrition, behavior, and reproduction of animal species most commonly kept as companions. The basic information is applied to discussion of basic preventive health care. Course content is largely focused on cats and dogs, although other mammals, birds and reptiles will be briefly considered. Legal and economic issues, and ethical considerations associated with companion animals are also incorporated into the course discussion. Credit is not given for both ANSC 207 and ANSC 307.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/winter/ANSC/207/10062.xml,NAT,,ARRANGED,,Companion Animal Biology &Care,207,,winter,1,2020,10062,A,Fischer-Brown,Credit is not given for both ANSC 207 and ANSC 307.,AN1,Online
1,2020-01-17Z,2019-12-23Z,ADV,Covers current issues in various advertising areas not studied extensively in other courses. 1 to 3 undergraduate hours. 1 to 3 graduate hours. May be repeated in the same or separate terms to a maximum of 6 hours. Prerequisite: Announced separately for each topic.,https://courses.illinois.edu/cisapp/explorer/schedule/2020/winter/ADV/490/10073.xml,,,ARRANGED,,Advanced Special Topics in Advertising,490,,winter,1,2020,10073,S,Meron,1 to 3 undergraduate hours. 1 to 3 graduate hours. May be repeated in the same or separate terms to a maximum of 6 hours. Prerequisite: Announced separately for each topic.,C  ,Online
3,2020-01-17Z,2019-12-23Z,ACE,"Examines principles of financial planning applied to individuals and households, with attention to organizing and analyzing financial information, budgeting, acquiring financial assets, managing credit, planning for taxes, investments, risk management, retirement, and estate planning. Prerequisite: Sophomore standing or consent of instructor.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/winter/ACE/240/10035.xml,,,ARRANGED,,Personal Financial Planning,240,,winter,1,2020,10035,P,Stoddard,Prerequisite: Sophomore standing or consent of instructor.,ONL,Online
3,2020-01-17Z,2019-12-23Z,DANC,"Overview of major works, figures, and trends responsible for shaping dance as an evolving contemporary art form. The course will have lecture, viewing, discussion and experiential (studio participation) components. For non-dance majors.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/winter/DANC/100/10068.xml,"CS, HUM",,ARRANGED,,Intro to Contemporary Dance,100,,winter,1,2020,10068,K,Beck,For non-dance majors.,OL2,Online
3,2020-01-17Z,2019-12-23Z,DANC,"Overview of major works, figures, and trends responsible for shaping dance as an evolving contemporary art form. The course will have lecture, viewing, discussion and experiential (studio participation) components. For non-dance majors.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/winter/DANC/100/10068.xml,"CS, HUM",,ARRANGED,,Intro to Contemporary Dance,100,,winter,1,2020,10068,R,Rizzuto,For non-dance majors.,OL2,Online
3,2020-01-17Z,2019-12-23Z,CLCV,Introduction to the study of the Greek and Latin roots of contemporary medical terminology and to the linguistic patterns governing their combination and usage.,https://courses.illinois.edu/cisapp/explorer/schedule/2020/winter/CLCV/102/10071.xml,,,ARRANGED,,Medical Terms-GRK & LAT Roots,102,,winter,1,2020,10071,E,Starr,,A  ,Online
3,2020-01-17Z,2019-12-23Z,CHLH,"Examines concepts of health and health promotion in contemporary society with emphasis on a healthy lifestyle for individuals and groups. Topics include self care, health insurance, exercise, nutrition and weight control, sexuality, contraception, tobacco, alcohol, cardiovascular health, infectious diseases, and cancer.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/winter/CHLH/100/10028.xml,SBS,,ARRANGED,,Contemporary Health,100,,winter,1,2020,10028,J,Trask,,ON ,Online
3,2020-01-17Z,2019-12-23Z,BADM,"Introduces the field of international business and management. Examines the economic, political, and legal environments of international business. Analyzes differences in financial management, marketing, and management practices for firms doing business abroad.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/winter/BADM/380/10017.xml,,,ARRANGED,,International Business,380,,winter,1,2020,10017,M,Bucheli,,OL ,Online
3,2020-01-17Z,2019-12-23Z,ATMS,"Most extreme manifestations of weather and climate are analyzed in terms of their physical basis and their historical, economic and human consequences. Emphasis is placed on the interplay between technological advances, the evolution of meteorology as a science, and the impacts of extreme weather (winter storms, floods, severe thunderstorms, hurricanes, El Nino). Technological advances include satellites, weather radars and profilers, and computer models used for weather prediction. Same as ESE 120.",https://courses.illinois.edu/cisapp/explorer/schedule/2020/winter/ATMS/120/10002.xml,"NAT, QR",,ARRANGED,,Severe and Hazardous Weather,120,,winter,1,2020,10002,J,Choate,Same as ESE 120.,ONL,Online
